film,year,movies.budget,movies.revenue,movies.popularity,status
My Fair Lady,1964,17000000,72661442,12.84,winner
The Maltese Falcon,1941,375000,1772000,11.98,nominated
The Unsinkable Molly Brown,1964,0,0,4.49,nominated
The Sound of Music,1965,8200000,286214286,18.32,nominated
Inside Daisy Clover,1965,4500000,0,3.46,nominated
Darling,1965,0,0,6.93,winner
A Patch of Blue,1965,800000,6792000,6.25,nominated
Georgy Girl,1966,0,0,4.58,nominated
Bonnie and Clyde,1967,2500000,50700000,12.75,nominated
Thoroughly Modern Millie,1967,0,0,7.37,nominated
Two for the Road,1967,0,0,6.64,nominated
Guess Who's Coming to Dinner,1967,4000000,56666667,8.79,winner
Rosemary's Baby,1968,3200000,33395426,19.05,nominated
Romeo and Juliet,1968,0,38901218,12.7,nominated
Star!,1968,14320000,14000000,2.07,nominated
The Lion in Winter,1968,0,0,9.69,nominated
Funny Girl,1968,14000000,52223306,5.94,nominated
The Magnificent Ambersons,1942,0,0,7.23,nominated
"Hello, Dolly!",1969,24000000,33208099,7.55,nominated
Five Easy Pieces,1970,0,18099091,7.68,nominated
Airport,1970,10000000,100489151,9.24,nominated
Darling Lili,1970,0,0,3.64,nominated
Bedknobs and Broomsticks,1971,20000000,17900000,9.86,nominated
"Mary, Queen of Scots",1971,0,0,3.64,nominated
The More the Merrier,1943,0,0,6.76,nominated
Klute,1971,2500000,12512637,7.71,nominated
Nicholas and Alexandra,1971,0,0,4.34,winner
The Andromeda Strain,1971,6500000,12376563,11.31,nominated
Travels with My Aunt,1972,0,0,3.55,nominated
Butterflies Are Free,1972,0,0,5.8,nominated
Cabaret,1972,6000000,0,7.05,winner
The Discreet Charm of the Bourgeoisie,1972,800000,0,10.14,nominated
Lady Sings the Blues,1972,0,0,4.57,nominated
The Exorcist,1973,11000000,441306145,110.15,nominated
Paper Moon,1973,2500000,30900000,7.26,nominated
Alice Doesn't Live Here Anymore,1974,0,0,7.54,nominated
Jaws,1975,7000000,470653000,43.3,winner
Hail the Conquering Hero,1944,0,0,5.08,nominated
Dog Day Afternoon,1975,1800000,46665856,14.04,winner
Nashville,1975,2200000,10,6.27,nominated
Network,1976,3800000,23689877,9.33,winner
The Turning Point,1977,0,0,4.48,nominated
Julia,1977,0,0,7.05,winner
Annie Hall,1977,4000000,38251425,10.49,winner
The Goodbye Girl,1977,0,102000000,7.43,nominated
A Little Night Music,1977,0,0,1.59,nominated
Autumn Sonata,1978,0,0,7.58,nominated
Interiors,1978,10000000,10400000,7.06,nominated
Death on the Nile,1978,7920000,14560084,19.94,winner
The Wiz,1978,24000000,21049053,8.43,nominated
The China Syndrome,1979,5900000,51718367,9.35,nominated
The Lost Weekend,1945,1250000,11000000,9.7,winner
Norma Rae,1979,4500000,22228000,6.85,nominated
Private Benjamin,1980,15000000,69800000,6.3,nominated
Coal Miner's Daughter,1980,15000000,67182787,7.75,nominated
Reds,1981,35000000,40382659,8.7,nominated
The Jolson Story,1946,0,0,1.89,nominated
Absence of Malice,1981,12000000,40716963,8.7,nominated
The Best Years of Our Lives,1946,2100000,23650000,9.4,winner
Sophie's Choice,1982,12000000,30036000,9.32,nominated
Notorious,1946,1000000,24500000,9.55,nominated
An Officer and a Gentleman,1982,7500000,129795554,14.1,nominated
Missing,1982,0,14000000,7,nominated
Victor/Victoria,1982,15000000,28215453,7.74,nominated
Silkwood,1983,0,0,8.05,nominated
Educating Rita,1983,0,0,6.37,nominated
Gentleman's Agreement,1947,2000000,7800000,6.32,nominated
Flashdance,1983,4000000,92921203,11.61,nominated
Crossfire,1947,250000,1300000,6.01,nominated
The Bostonians,1984,0,0,1.48,nominated
Amadeus,1984,18000000,51973029,18.01,nominated
