year,film,Production Company
1961,Splendor in the Grass,Newton Productions
1961,Splendor in the Grass,NBI Productions
1940,Boom Town,Metro-Goldwyn-Mayer
1961,The Parent Trap,Walt Disney Productions
1962,What Ever Happened to Baby Jane?,The Associates & Aldrich Company
1962,What Ever Happened to Baby Jane?,Seven Arts Productions
1962,Lolita,Seven Arts Productions
1962,Lolita,Allied Artists
1962,To Kill a Mockingbird,Pakula-Mulligan
1962,To Kill a Mockingbird,Brentwood Productions
1962,Gypsy,Warner Bros. Pictures
1962,The Miracle Worker,Playfilm Productions
1962,Hatari!,Paramount
1962,Hatari!,Malabar
1941,Citizen Kane,Mercury Productions
1941,Citizen Kane,RKO Radio Pictures
1963,Tom Jones,Woodfall Film Productions
1941,The Lady Eve,Paramount
1963,"It's a Mad, Mad, Mad, Mad World",United Artists
1963,"It's a Mad, Mad, Mad, Mad World",Casey Productions
1963,Cleopatra,MCL Films S.A.
1963,Cleopatra,Walwa Films S.A.
1941,The Little Foxes,RKO Radio Pictures
1941,The Little Foxes,Samuel Goldwyn Productions
1964,Mary Poppins,Walt Disney Productions
1964,My Fair Lady,Warner Bros. Pictures
1941,The Maltese Falcon,Warner Bros. Pictures
1964,The Unsinkable Molly Brown,Metro-Goldwyn-Mayer
1965,The Sound of Music,Robert Wise Productions
1965,The Sound of Music,Argyle Enterprises
1965,Inside Daisy Clover,Park Place Production
1965,Inside Daisy Clover,Warner Bros. Pictures
1965,Darling,Vic Films Productions
1965,Darling,Joseph Janni Production
1965,A Patch of Blue,Metro-Goldwyn-Mayer
1966,Georgy Girl,Everglades Productions
1966,Georgy Girl,Columbia Pictures
1967,Bonnie and Clyde,Tatira-Hiller Productions
1967,Bonnie and Clyde,Warner Bros. Pictures
1967,Thoroughly Modern Millie,Ross Hunter Productions
1967,Thoroughly Modern Millie,Universal Pictures
1967,Two for the Road,Stanley Donen Films
1967,Guess Who's Coming to Dinner,Stanley Kramer Productions
1967,Guess Who's Coming to Dinner,Columbia Pictures
1968,Rosemary's Baby,William Castle Productions
1968,Romeo and Juliet,Paramount
1968,Romeo and Juliet,Dino de Laurentiis Cinematografica
1968,Star!,Robert Wise Productions
1968,Star!,20th Century Fox
1968,The Lion in Winter,AVCO Embassy Pictures
1968,The Lion in Winter,Haworth Productions
1968,Funny Girl,Columbia Pictures
1968,Funny Girl,Rastar Productions
1942,The Magnificent Ambersons,Mercury Productions
1942,The Magnificent Ambersons,RKO Radio Pictures
1969,"Hello, Dolly!",Chenault Productions
1969,"Hello, Dolly!",20th Century Fox
1970,Five Easy Pieces,Raybert Productions
1970,Airport,Ross Hunter Productions
1970,Darling Lili,Paramount
1970,Darling Lili,Geoffrey Productions
1971,Bedknobs and Broomsticks,Walt Disney Productions
1971,"Mary, Queen of Scots",Universal Pictures
1943,The More the Merrier,Columbia Pictures
1971,Klute,Gus Productions
1971,Klute,Warner Bros. Pictures
1971,Nicholas and Alexandra,Columbia Pictures
1971,Nicholas and Alexandra,Horizon Pictures
1971,The Andromeda Strain,Universal Pictures
1972,Travels with My Aunt,Metro-Goldwyn-Mayer
1972,Butterflies Are Free,Frankovich Productions
1972,Butterflies Are Free,Columbia Pictures
1972,Cabaret,Allied Artists Pictures
1972,Cabaret,ABC Pictures
1972,The Discreet Charm of the Bourgeoisie,Greenwich Film Production
1972,The Discreet Charm of the Bourgeoisie,20th Century Fox
1972,Lady Sings the Blues,Weston Productions
