year,category,film,name,status,gender,movies.title,movies.year,movies.bt_score,movies.dubious,movies.imdbid,movies.tmdbId,movies.popularity,movies.release_date,movies.revenue,movies.vote_average,movies.vote_count,movies.budget,movies.crew_female_representation,Genre,Production Company,Production Country
1936,DIRECTING,The Great Ziegfeld,Robert Z. Leonard,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Music,Metro-Goldwyn-Mayer,United States of America
1936,DIRECTING,The Great Ziegfeld,Robert Z. Leonard,nominated,male,The Great Ziegfeld,1936,3,0,27698,43277,5.7,08-04-1936,0,6.2,82,0,0,Romance,Metro-Goldwyn-Mayer,United States of America
1931,DIRECTING,The Champ,King Vidor,nominated,male,The Champ,1931,1,0,21730,42816,3.01,21-11-1931,1600000,7,34,356000,7.14,Drama,Metro-Goldwyn-Mayer,United States of America
1931,WRITING,The Champ,Frances Marion,winner,female,The Champ,1931,1,0,21730,42816,3.01,21-11-1931,1600000,7,34,356000,7.14,Drama,Metro-Goldwyn-Mayer,United States of America
1937,WRITING,Stage Door,Morris Ryskind,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Comedy,RKO Radio Pictures,United States of America
1937,WRITING,Stage Door,Morris Ryskind,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Drama,RKO Radio Pictures,United States of America
1937,WRITING,Stage Door,Anthony Veiller,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Comedy,RKO Radio Pictures,United States of America
1937,WRITING,Stage Door,Anthony Veiller,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Drama,RKO Radio Pictures,United States of America
1937,DIRECTING,Stage Door,Gregory La Cava,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Comedy,RKO Radio Pictures,United States of America
1937,DIRECTING,Stage Door,Gregory La Cava,nominated,male,Stage Door,1937,3,1,29604,43864,5.36,07-10-1937,1762000,7,67,952000,14.81,Drama,RKO Radio Pictures,United States of America
1937,FILM EDITING,The Awful Truth,Al Clark,nominated,male,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Comedy,Columbia Pictures,United States of America
1937,FILM EDITING,The Awful Truth,Al Clark,nominated,male,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Drama,Columbia Pictures,United States of America
1937,FILM EDITING,The Awful Truth,Al Clark,nominated,male,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Romance,Columbia Pictures,United States of America
1937,WRITING,The Awful Truth,Vina Delmar,nominated,female,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Comedy,Columbia Pictures,United States of America
1937,WRITING,The Awful Truth,Vina Delmar,nominated,female,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Drama,Columbia Pictures,United States of America
1937,WRITING,The Awful Truth,Vina Delmar,nominated,female,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Romance,Columbia Pictures,United States of America
1937,DIRECTING,The Awful Truth,Leo McCarey,winner,male,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Comedy,Columbia Pictures,United States of America
1937,DIRECTING,The Awful Truth,Leo McCarey,winner,male,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Drama,Columbia Pictures,United States of America
1937,DIRECTING,The Awful Truth,Leo McCarey,winner,male,The Awful Truth,1937,3,0,28597,14675,6.63,20-10-1937,3000000,7.3,206,600000,4.17,Romance,Columbia Pictures,United States of America
1938,DIRECTING,Four Daughters,Michael Curtiz,nominated,male,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Drama,Warner Bros. Pictures,United States of America
1938,DIRECTING,Four Daughters,Michael Curtiz,nominated,male,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Music,Warner Bros. Pictures,United States of America
1938,DIRECTING,Four Daughters,Michael Curtiz,nominated,male,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Romance,Warner Bros. Pictures,United States of America
1938,WRITING,Four Daughters,Julius J. Epstein,nominated,male,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Drama,Warner Bros. Pictures,United States of America
1938,WRITING,Four Daughters,Julius J. Epstein,nominated,male,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Music,Warner Bros. Pictures,United States of America
1938,WRITING,Four Daughters,Julius J. Epstein,nominated,male,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Romance,Warner Bros. Pictures,United States of America
1938,WRITING,Four Daughters,Lenore Coffee,nominated,female,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Drama,Warner Bros. Pictures,United States of America
1938,WRITING,Four Daughters,Lenore Coffee,nominated,female,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Music,Warner Bros. Pictures,United States of America
1938,WRITING,Four Daughters,Lenore Coffee,nominated,female,Four Daughters,1938,3,0,30149,67880,2.59,09-08-1938,0,6.6,15,0,14.29,Romance,Warner Bros. Pictures,United States of America
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,Walter Wanger Productions,United States of America
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,United Artists,United States of America
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,Walter Wanger Productions,United States of America
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,United Artists,United States of America
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,Walter Wanger Productions,United States of America
1939,CINEMATOGRAPHY,Stagecoach,Bert Glennon,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,United Artists,United States of America
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,Walter Wanger Productions,United States of America
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,United Artists,United States of America
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,Walter Wanger Productions,United States of America
