year,category,film,name,status,gender,movies.title,movies.year,movies.bt_score,movies.dubious,movies.imdbid,movies.tmdbId,movies.popularity,movies.release_date,movies.revenue,movies.vote_average,movies.vote_count,movies.budget,movies.crew_female_representation,Genre,Production Company,Production Country
1993,DIRECTING,Schindler's List,Steven Spielberg,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,Drama,Amblin Entertainment,United States of America
1993,DIRECTING,Schindler's List,Steven Spielberg,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,History,Universal Pictures,United States of America
1993,DIRECTING,Schindler's List,Steven Spielberg,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,History,Amblin Entertainment,United States of America
1993,DIRECTING,Schindler's List,Steven Spielberg,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,War,Universal Pictures,United States of America
1993,DIRECTING,Schindler's List,Steven Spielberg,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,War,Amblin Entertainment,United States of America
1993,WRITING,Schindler's List,Steven Zaillian,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,Drama,Universal Pictures,United States of America
1993,WRITING,Schindler's List,Steven Zaillian,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,Drama,Amblin Entertainment,United States of America
1993,WRITING,Schindler's List,Steven Zaillian,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,History,Universal Pictures,United States of America
1993,WRITING,Schindler's List,Steven Zaillian,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,History,Amblin Entertainment,United States of America
1993,WRITING,Schindler's List,Steven Zaillian,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,War,Universal Pictures,United States of America
1993,WRITING,Schindler's List,Steven Zaillian,winner,male,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,War,Amblin Entertainment,United States of America
1993,COSTUME DESIGN,Schindler's List,Anna Biedrzycka-Sheppard,nominated,female,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,Drama,Universal Pictures,United States of America
1993,COSTUME DESIGN,Schindler's List,Anna Biedrzycka-Sheppard,nominated,female,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,Drama,Amblin Entertainment,United States of America
1993,COSTUME DESIGN,Schindler's List,Anna Biedrzycka-Sheppard,nominated,female,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,History,Universal Pictures,United States of America
1993,COSTUME DESIGN,Schindler's List,Anna Biedrzycka-Sheppard,nominated,female,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,History,Amblin Entertainment,United States of America
1993,COSTUME DESIGN,Schindler's List,Anna Biedrzycka-Sheppard,nominated,female,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,War,Universal Pictures,United States of America
1993,COSTUME DESIGN,Schindler's List,Anna Biedrzycka-Sheppard,nominated,female,Schindler's List,1993,3,0,108052,424,35.73,30-11-1993,321365567,8.6,12815,22000000,15.25,War,Amblin Entertainment,United States of America
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,New Zealand
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,Australia
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,New Zealand
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,Australia
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,New Zealand
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,Australia
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,New Zealand
1993,CINEMATOGRAPHY,The Piano,Stuart Dryburgh,nominated,male,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,Australia
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,New Zealand
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,Australia
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,New Zealand
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,Australia
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,New Zealand
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,Australia
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,New Zealand
1993,FILM EDITING,The Piano,Veronika Jenet,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,Australia
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,New Zealand
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,Australia
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,New Zealand
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,Australia
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,New Zealand
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,Australia
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,New Zealand
1993,DIRECTING,The Piano,Jane Campion,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,Australia
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,New Zealand
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,Australia
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,New Zealand
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,Australia
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,New Zealand
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,Australia
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,New Zealand
1993,COSTUME DESIGN,The Piano,Janet Patterson,nominated,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,Australia
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,New Zealand
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,New South Wales Film & Television Office,Australia
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,New Zealand
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Drama,Jan Chapman Productions,Australia
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,New Zealand
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,New South Wales Film & Television Office,Australia
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,New Zealand
1993,WRITING,The Piano,Jane Campion,winner,female,The Piano,1993,3,1,107822,713,12.41,19-05-1993,40185556,7.4,1133,7000000,30,Romance,Jan Chapman Productions,Australia
1993,WRITING,The Age of Innocence,Jay Cocks,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Drama,Columbia Pictures,United States of America
1993,WRITING,The Age of Innocence,Jay Cocks,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Drama,Cappa Productions,United States of America
1993,WRITING,The Age of Innocence,Jay Cocks,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Romance,Columbia Pictures,United States of America
1993,WRITING,The Age of Innocence,Jay Cocks,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Romance,Cappa Productions,United States of America
1993,WRITING,The Age of Innocence,Martin Scorsese,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Drama,Columbia Pictures,United States of America
1993,WRITING,The Age of Innocence,Martin Scorsese,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Drama,Cappa Productions,United States of America
1993,WRITING,The Age of Innocence,Martin Scorsese,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Romance,Columbia Pictures,United States of America
1993,WRITING,The Age of Innocence,Martin Scorsese,nominated,male,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Romance,Cappa Productions,United States of America
1993,COSTUME DESIGN,The Age of Innocence,Gabriella Pescucci,winner,female,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Drama,Columbia Pictures,United States of America
1993,COSTUME DESIGN,The Age of Innocence,Gabriella Pescucci,winner,female,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Drama,Cappa Productions,United States of America
1993,COSTUME DESIGN,The Age of Innocence,Gabriella Pescucci,winner,female,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Romance,Columbia Pictures,United States of America
1993,COSTUME DESIGN,The Age of Innocence,Gabriella Pescucci,winner,female,The Age of Innocence,1993,3,0,106226,10436,9.42,10-09-1993,32255440,7,826,34000000,41.67,Romance,Cappa Productions,United States of America
1952,CINEMATOGRAPHY,The Snows of Kilimanjaro,Leon Shamroy,nominated,male,The Snows of Kilimanjaro,1952,1,0,45162,4460,5.32,08-10-1952,0,5.9,64,0,6.25,Adventure,20th Century Fox,United States of America
1952,CINEMATOGRAPHY,The Snows of Kilimanjaro,Leon Shamroy,nominated,male,The Snows of Kilimanjaro,1952,1,0,45162,4460,5.32,08-10-1952,0,5.9,64,0,6.25,Romance,20th Century Fox,United States of America
1993,DIRECTING,Short Cuts,Robert Altman,nominated,male,Short Cuts,1993,3,0,108122,695,7.38,05-09-1993,6110979,7.2,432,0,18.18,Comedy,Fine Line Features,United States of America
1993,DIRECTING,Short Cuts,Robert Altman,nominated,male,Short Cuts,1993,3,0,108122,695,7.38,05-09-1993,6110979,7.2,432,0,18.18,Comedy,Spelling Entertainment,United States of America
1993,DIRECTING,Short Cuts,Robert Altman,nominated,male,Short Cuts,1993,3,0,108122,695,7.38,05-09-1993,6110979,7.2,432,0,18.18,Drama,Fine Line Features,United States of America
1993,DIRECTING,Short Cuts,Robert Altman,nominated,male,Short Cuts,1993,3,0,108122,695,7.38,05-09-1993,6110979,7.2,432,0,18.18,Drama,Spelling Entertainment,United States of America
1953,BEST PICTURE,Julius Caesar,John Houseman,nominated,male,Julius Caesar,1953,1,0,45943,18019,8.5,04-06-1953,0,7.1,150,0,0,Drama,Metro-Goldwyn-Mayer,United States of America
1953,BEST PICTURE,Julius Caesar,John Houseman,nominated,male,Julius Caesar,1953,1,0,45943,18019,8.5,04-06-1953,0,7.1,150,0,0,History,Metro-Goldwyn-Mayer,United States of America
1953,CINEMATOGRAPHY,Julius Caesar,Joseph Ruttenberg,nominated,male,Julius Caesar,1953,1,0,45943,18019,8.5,04-06-1953,0,7.1,150,0,0,Drama,Metro-Goldwyn-Mayer,United States of America
1953,CINEMATOGRAPHY,Julius Caesar,Joseph Ruttenberg,nominated,male,Julius Caesar,1953,1,0,45943,18019,8.5,04-06-1953,0,7.1,150,0,0,History,Metro-Goldwyn-Mayer,United States of America
1994,FILM EDITING,Speed,John Wright,nominated,male,Speed,1994,3,0,111257,1637,34.04,09-06-1994,350448145,7.1,4915,30000000,9.43,Action,20th Century Fox,United States of America
1994,FILM EDITING,Speed,John Wright,nominated,male,Speed,1994,3,0,111257,1637,34.04,09-06-1994,350448145,7.1,4915,30000000,9.43,Action,The Mark Gordon Company,United States of America
1994,FILM EDITING,Speed,John Wright,nominated,male,Speed,1994,3,0,111257,1637,34.04,09-06-1994,350448145,7.1,4915,30000000,9.43,Adventure,20th Century Fox,United States of America
1994,FILM EDITING,Speed,John Wright,nominated,male,Speed,1994,3,0,111257,1637,34.04,09-06-1994,350448145,7.1,4915,30000000,9.43,Adventure,The Mark Gordon Company,United States of America
1994,FILM EDITING,Speed,John Wright,nominated,male,Speed,1994,3,0,111257,1637,34.04,09-06-1994,350448145,7.1,4915,30000000,9.43,Crime,20th Century Fox,United States of America
1994,FILM EDITING,Speed,John Wright,nominated,male,Speed,1994,3,0,111257,1637,34.04,09-06-1994,350448145,7.1,4915,30000000,9.43,Crime,The Mark Gordon Company,United States of America
1953,BEST PICTURE,Shane,George Stevens,nominated,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Drama,Paramount,United States of America
1953,BEST PICTURE,Shane,George Stevens,nominated,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Western,Paramount,United States of America
1953,DIRECTING,Shane,George Stevens,nominated,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Drama,Paramount,United States of America
1953,DIRECTING,Shane,George Stevens,nominated,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Western,Paramount,United States of America
1953,WRITING,Shane,A. B. Guthrie,nominated,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Drama,Paramount,United States of America
1953,WRITING,Shane,A. B. Guthrie,nominated,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Western,Paramount,United States of America
1953,CINEMATOGRAPHY,Shane,Loyal Griggs,winner,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Drama,Paramount,United States of America
1953,CINEMATOGRAPHY,Shane,Loyal Griggs,winner,male,Shane,1953,1,0,46303,3110,10.66,23-04-1953,20000000,7.5,453,3100000,3.7,Western,Paramount,United States of America
1994,WRITING,Heavenly Creatures,Frances Walsh,nominated,female,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Drama,Miramax,New Zealand
1994,WRITING,Heavenly Creatures,Frances Walsh,nominated,female,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Drama,WingNut Films,New Zealand
1994,WRITING,Heavenly Creatures,Frances Walsh,nominated,female,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Fantasy,Miramax,New Zealand
1994,WRITING,Heavenly Creatures,Frances Walsh,nominated,female,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Fantasy,WingNut Films,New Zealand
1994,WRITING,Heavenly Creatures,Peter Jackson,nominated,male,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Drama,Miramax,New Zealand
1994,WRITING,Heavenly Creatures,Peter Jackson,nominated,male,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Drama,WingNut Films,New Zealand
1994,WRITING,Heavenly Creatures,Peter Jackson,nominated,male,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Fantasy,Miramax,New Zealand
1994,WRITING,Heavenly Creatures,Peter Jackson,nominated,male,Heavenly Creatures,1994,3,0,110005,1024,7.3,12-09-1994,3049135,7,707,5000000,19.05,Fantasy,WingNut Films,New Zealand
1994,COSTUME DESIGN,Little Women,Colleen Atwood,nominated,female,Little Women,1994,3,0,110367,9587,12.6,21-12-1994,50083616,7.3,991,18000000,20,Drama,Columbia Pictures,United States of America
1994,COSTUME DESIGN,Little Women,Colleen Atwood,nominated,female,Little Women,1994,3,0,110367,9587,12.6,21-12-1994,50083616,7.3,991,18000000,20,Romance,Columbia Pictures,United States of America
1953,FILM EDITING,The War of the Worlds,Everett Douglas,nominated,male,The War of the Worlds,1953,1,0,46534,8974,10.55,13-08-1953,0,6.8,467,2000000,1.27,Science Fiction,Paramount,United States of America
1953,FILM EDITING,The War of the Worlds,Everett Douglas,nominated,male,The War of the Worlds,1953,1,0,46534,8974,10.55,13-08-1953,0,6.8,467,2000000,1.27,Action,Paramount,United States of America
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Lizzy Gardiner,winner,female,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Drama,PolyGram Filmed Entertainment,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Lizzy Gardiner,winner,female,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Drama,Latent Image Productions Pty. Ltd.,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Lizzy Gardiner,winner,female,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Comedy,PolyGram Filmed Entertainment,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Lizzy Gardiner,winner,female,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Comedy,Latent Image Productions Pty. Ltd.,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Tim Chappel,winner,male,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Drama,PolyGram Filmed Entertainment,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Tim Chappel,winner,male,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Drama,Latent Image Productions Pty. Ltd.,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Tim Chappel,winner,male,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Comedy,PolyGram Filmed Entertainment,Australia
1994,COSTUME DESIGN,"The Adventures of Priscilla, Queen of the Desert",Tim Chappel,winner,male,"The Adventures of Priscilla, Queen of the Desert",1994,3,0,109045,2759,8.13,31-05-1994,11224491,7.3,590,2000000,15.38,Comedy,Latent Image Productions Pty. Ltd.,Australia
1953,WRITING,The Band Wagon,Adolph Green,nominated,male,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Comedy,Metro-Goldwyn-Mayer,United States of America
1953,WRITING,The Band Wagon,Adolph Green,nominated,male,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Music,Metro-Goldwyn-Mayer,United States of America
1953,WRITING,The Band Wagon,Adolph Green,nominated,male,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Romance,Metro-Goldwyn-Mayer,United States of America
1953,COSTUME DESIGN,The Band Wagon,Mary Ann Nyberg,nominated,female,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Comedy,Metro-Goldwyn-Mayer,United States of America
1953,COSTUME DESIGN,The Band Wagon,Mary Ann Nyberg,nominated,female,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Music,Metro-Goldwyn-Mayer,United States of America
1953,COSTUME DESIGN,The Band Wagon,Mary Ann Nyberg,nominated,female,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Romance,Metro-Goldwyn-Mayer,United States of America
1953,WRITING,The Band Wagon,Betty Comden,nominated,female,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Comedy,Metro-Goldwyn-Mayer,United States of America
1953,WRITING,The Band Wagon,Betty Comden,nominated,female,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Music,Metro-Goldwyn-Mayer,United States of America
1953,WRITING,The Band Wagon,Betty Comden,nominated,female,The Band Wagon,1953,1,0,45537,29376,6.45,07-08-1953,0,7.1,158,0,6.45,Romance,Metro-Goldwyn-Mayer,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Adventure,Bedford Falls Productions,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Adventure,TriStar Pictures,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Drama,Bedford Falls Productions,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Drama,TriStar Pictures,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Romance,Bedford Falls Productions,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Romance,TriStar Pictures,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,War,Bedford Falls Productions,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,War,TriStar Pictures,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Western,Bedford Falls Productions,United States of America
1994,CINEMATOGRAPHY,Legends of the Fall,John Toll,winner,male,Legends of the Fall,1994,3,0,110322,4476,18.92,16-12-1994,160638883,7.4,2028,30000000,22.22,Western,TriStar Pictures,United States of America
1994,WRITING,Four Weddings and a Funeral,Richard Curtis,nominated,male,Four Weddings and a Funeral,1994,3,0,109831,712,15.18,09-03-1994,245700832,6.8,2131,4400000,33.33,Comedy,PolyGram Filmed Entertainment,United Kingdom
1994,WRITING,Four Weddings and a Funeral,Richard Curtis,nominated,male,Four Weddings and a Funeral,1994,3,0,109831,712,15.18,09-03-1994,245700832,6.8,2131,4400000,33.33,Comedy,Channel Four Films,United Kingdom
1994,WRITING,Four Weddings and a Funeral,Richard Curtis,nominated,male,Four Weddings and a Funeral,1994,3,0,109831,712,15.18,09-03-1994,245700832,6.8,2131,4400000,33.33,Drama,PolyGram Filmed Entertainment,United Kingdom
1994,WRITING,Four Weddings and a Funeral,Richard Curtis,nominated,male,Four Weddings and a Funeral,1994,3,0,109831,712,15.18,09-03-1994,245700832,6.8,2131,4400000,33.33,Drama,Channel Four Films,United Kingdom
